,Player,WS/40
0,Cam Whitmore,.130
1,Taylor Hendricks,.195
2,Anthony Black,.133
3,Jarace Walker,.211
4,Cason Wallace,.150
5,Kobe Bufkin,.128
6,Gradey Dick,.165
7,Brice Sensabaugh,.187
8,Jordan Hawkins,.183
9,Keyonte George,.125
10,Kris Murray,.193
11,Dariq Whitehead,.117
12,Bobi Klintman,.086
13,Jett Howard,.132
14,Colby Jones,.148
15,Maxwell Lewis,.093
16,Noah Clowney,.189
17,Marcus Sasser,.212
18,Jalen Wilson,.163
19,Julian Strawther,.180
20,Julian Phillips,.183
21,Kobe Brown,.153
22,Adem Bona,.196
23,Jaylen Clark,.197
24,Kevin McCullar,.148
25,Terquavion Smith,.122
26,Trey Alexander,.129
27,Brandin Podziemski,.215
28,Amari Bailey,.136
29,Omari Moore,.087
30,Judah Mintz,.119
31,Adam Flagler,.177
32,Jordan Walsh,.115
33,Arthur Kaluma,.100
34,Ryan Kalkbrenner,.231
35,Coleman Hawkins,.125
36,Zach Edey,.300
37,Dillon Mitchell,.142
38,Reece Beekman,.130
39,Seth Lundy,.127
40,Mouhamed Gueye,.147
41,Jalen Slawson,.189
42,Colin Castleton,.198
43,Chris Livingston,.100
44,Ben Sheppard,.154
45,Adama Sanogo,.210
46,Isaiah Wong,.128
47,Brandon Miller,.230
48,Dereck Lively Jr.,.201
49,Jalen Hood-Schifino,.071
50,Nick Smith Jr.,.082
51,G.G. Jackson,.040
52,Jaime Jaquez,.183
53,Andre Jackson,.134
54,Terrence Shannon Jr.,.194
55,Olivier-Maxence Prosper,.135
56,Trayce Jackson-Davis,.230
57,Jordan Miller,.172
58,Ricky Council IV,.143
59,DaRon Holmes,.223
